0.98258,0.01045,0.00697
0.01931,0.97297,0.00772
0.07326,0.76190,0.16484
0.94077,0.00000,0.05923
0.02317,0.47490,0.50193
0.02198,0.00366,0.97436
0.92334,0.05923,0.01742
0.01931,0.15444,0.82625
0.01832,0.05128,0.93040
0.97909,0.00697,0.01394
0.00000,0.41313,0.58687
0.06960,0.04029,0.89011
0.99303,0.00697,0.00000
0.00000,1.00000,0.00000
0.36264,0.63736,0.00000
0.00000,1.00000,0.00000
0.00000,1.00000,0.00000
0.00000,1.00000,0.00000
0.93728,0.06272,0.00000
0.00000,1.00000,0.00000
0.09158,0.90842,0.00000
